Date,District,COD_DIS,Rent_Price
2006-01-01,Centro,1,
2006-02-01,Centro,1,
2006-03-01,Centro,1,
2006-04-01,Centro,1,
2006-05-01,Centro,1,
2006-06-01,Centro,1,
2006-07-01,Centro,1,
2006-08-01,Centro,1,
2006-09-01,Centro,1,
2006-10-01,Centro,1,
2006-11-01,Centro,1,
2006-12-01,Centro,1,
2007-01-01,Centro,1,
2007-02-01,Centro,1,
2007-03-01,Centro,1,
2007-04-01,Centro,1,
2007-05-01,Centro,1,
2007-06-01,Centro,1,
2007-07-01,Centro,1,
2007-08-01,Centro,1,
2007-09-01,Centro,1,
2007-10-01,Centro,1,
2007-11-01,Centro,1,
2007-12-01,Centro,1,
2008-01-01,Centro,1,
2008-02-01,Centro,1,
2008-03-01,Centro,1,
2008-04-01,Centro,1,
2008-05-01,Centro,1,
2008-06-01,Centro,1,
2008-07-01,Centro,1,
2008-08-01,Centro,1,
2008-09-01,Centro,1,
2008-10-01,Centro,1,18.0
2008-11-01,Centro,1,17.7
2008-12-01,Centro,1,18.8
2009-01-01,Centro,1,17.6
2009-02-01,Centro,1,18.3
2009-03-01,Centro,1,17.5
2009-04-01,Centro,1,17.5
2009-05-01,Centro,1,16.0
2009-06-01,Centro,1,16.0
2009-07-01,Centro,1,15.8
2009-08-01,Centro,1,15.6
2009-09-01,Centro,1,16.0
2009-10-01,Centro,1,16.0
2009-11-01,Centro,1,16.0
2009-12-01,Centro,1,15.9
2010-01-01,Centro,1,16.3
2010-02-01,Centro,1,16.0
2010-03-01,Centro,1,15.7
2010-04-01,Centro,1,15.5
2010-05-01,Centro,1,15.5
2010-06-01,Centro,1,15.5
2010-07-01,Centro,1,15.2
2010-08-01,Centro,1,15.3
2010-09-01,Centro,1,15.2
2010-10-01,Centro,1,15.4
2010-11-01,Centro,1,15.4
2010-12-01,Centro,1,15.4
2011-01-01,Centro,1,15.6
2011-02-01,Centro,1,15.4
2011-03-01,Centro,1,15.3
2011-04-01,Centro,1,15.0
2011-05-01,Centro,1,15.0
2011-06-01,Centro,1,15.0
2011-07-01,Centro,1,15.0
2011-08-01,Centro,1,15.0
2011-09-01,Centro,1,14.9
2011-10-01,Centro,1,14.9
2011-11-01,Centro,1,15.0
2011-12-01,Centro,1,15.0
2012-01-01,Centro,1,15.0
2012-02-01,Centro,1,14.7
2012-03-01,Centro,1,14.6
2012-04-01,Centro,1,14.4
2012-05-01,Centro,1,14.3
2012-06-01,Centro,1,14.2
2012-07-01,Centro,1,14.1
2012-08-01,Centro,1,14.1
2012-09-01,Centro,1,14.0
2012-10-01,Centro,1,14.0
2012-11-01,Centro,1,13.9
2012-12-01,Centro,1,13.8
2013-01-01,Centro,1,13.6
2013-02-01,Centro,1,13.6
2013-03-01,Centro,1,13.6
2013-04-01,Centro,1,13.6
2013-05-01,Centro,1,13.5
2013-06-01,Centro,1,13.3
2013-07-01,Centro,1,13.3
2013-08-01,Centro,1,13.3
2013-09-01,Centro,1,13.3
2013-10-01,Centro,1,13.3
2013-11-01,Centro,1,13.3
2013-12-01,Centro,1,13.2
2014-01-01,Centro,1,13.3
2014-02-01,Centro,1,13.3
2014-03-01,Centro,1,13.3
2014-04-01,Centro,1,13.3
2014-05-01,Centro,1,13.4
